mode,train_seed,d0_bin,n,success_rate,mean_final_distance,mean_length,mean_tau_effort
pirl,4,"(0.069, 0.3]",20.0,1.0,0.04247256404708262,15.9,16.45167590121257
pirl,4,"(0.3, 0.5]",44.0,0.9090909090909091,0.0675662248501553,37.77272727272727,16.054786517765862
pirl,4,"(0.5, 0.7]",90.0,0.7555555555555555,0.05676817893021076,70.84444444444445,16.601632188617625
pirl,4,"(0.7, 0.9]",88.0,0.2727272727272727,0.1284555033150564,154.1590909090909,19.20721785178595
pirl,4,"(0.9, 1.1]",90.0,0.044444444444444446,0.22587145858274882,193.17777777777778,14.817769514070992
pirl,4,"(1.1, 1.4]",68.0,0.0,0.3602902960309458,200.0,6.076552930041256
pirl,4,,,,,,
pure,0,"(0.069, 0.3]",22.0,1.0,0.04496511508179635,15.181818181818182,17.169830594275655
pure,0,"(0.3, 0.5]",48.0,0.8333333333333334,0.05438193469645893,55.166666666666664,18.254205397733603
pure,0,"(0.5, 0.7]",88.0,0.5227272727272727,0.08532644376577517,110.18181818181819,18.329964470793406
pure,0,"(0.7, 0.9]",92.0,0.391304347826087,0.12671138360299172,131.6086956521739,13.963099487476063
pure,0,"(0.9, 1.1]",90.0,0.15555555555555556,0.2810412201014168,172.95555555555555,10.065985358633135
pure,0,"(1.1, 1.4]",60.0,0.0,0.4807675638190252,200.0,12.67839097391734
pure,0,,,,,,
pure,1,"(0.069, 0.3]",20.0,0.6,0.13213525771114526,92.1,7.9478052648876245
pure,1,"(0.3, 0.5]",44.0,0.8636363636363636,0.05932804283398803,47.0,9.732973571102198
pure,1,"(0.5, 0.7]",90.0,0.7333333333333333,0.06520442705964442,75.8,8.869166765527423
pure,1,"(0.7, 0.9]",88.0,0.3409090909090909,0.08667256029559013,140.47727272727272,6.870603652591783
pure,1,"(0.9, 1.1]",90.0,0.3111111111111111,0.1414489485026418,145.37777777777777,7.226985246793223
pure,1,"(1.1, 1.4]",66.0,0.030303030303030304,0.3022584640438034,194.54545454545453,4.2153687724216455
pure,1,,2.0,0.0,0.4198922243443915,200.0,2.6621527235142133
pure,2,"(0.069, 0.3]",20.0,0.9,0.055481608479478785,34.5,16.983459902005503
pure,2,"(0.3, 0.5]",44.0,0.8181818181818182,0.06598295024608687,55.09090909090909,17.30690585186534
pure,2,"(0.5, 0.7]",90.0,0.6888888888888889,0.05722694679599349,87.08888888888889,18.14556649374458
pure,2,"(0.7, 0.9]",88.0,0.36363636363636365,0.08130196500845505,136.72727272727272,19.607485243372412
pure,2,"(0.9, 1.1]",90.0,0.24444444444444444,0.16463006344196252,156.6,20.859506019473365
pure,2,"(1.1, 1.4]",68.0,0.08823529411764706,0.2804782846438443,184.11764705882354,21.05947775117445
pure,2,,,,,,
pure,3,"(0.069, 0.3]",22.0,0.09090909090909091,0.19450801304805668,182.54545454545453,22.041016123337826
pure,3,"(0.3, 0.5]",44.0,0.22727272727272727,0.1656088614682618,158.04545454545453,20.328898822602184
pure,3,"(0.5, 0.7]",90.0,0.35555555555555557,0.1082779268897249,138.77777777777777,19.223315238371566
pure,3,"(0.7, 0.9]",88.0,0.2727272727272727,0.15218448534230983,152.77272727272728,19.56262054033541
pure,3,"(0.9, 1.1]",90.0,0.1111111111111111,0.20465469561531333,180.57777777777778,20.873390356611903
pure,3,"(1.1, 1.4]",66.0,0.30303030303030304,0.23627818795934802,145.54545454545453,19.958366854518907
pure,3,,,,,,
pure,4,"(0.069, 0.3]",20.0,1.0,0.0424783955622795,16.5,11.57915597612645
pure,4,"(0.3, 0.5]",44.0,0.8636363636363636,0.07033558874394968,44.95454545454545,13.08175996104037
