#{"t_start": 1774114133.0914402, "env_id": null}
r,l,t,is_success,final_distance
-13.621532,41,17.576143,1.0,0.02958942635172945
-109.873638,200,17.699696,0.0,0.6103817241959033
-97.567915,200,17.819689,0.0,0.4647607277619125
-132.072889,200,17.936252,0.0,0.7521442863926739
-135.247887,200,18.052817,0.0,0.6446786390871869
-54.187024,105,18.115824,1.0,0.044178265338690015
-122.972543,200,18.23086,0.0,0.6248169257222883
-75.583824,200,18.349342,0.0,0.23180130325220333
-106.774565,200,18.465887,0.0,0.5222917711969386
-135.222544,200,18.887972,0.0,0.7800175970643601
-113.494004,200,19.012491,0.0,0.5343340680580208
-132.035193,200,19.135596,0.0,0.8011551081492708
-85.263191,200,19.256114,0.0,0.3742143417293812
-96.094533,200,19.382886,0.0,0.37106301964171856
-103.335169,200,19.514439,0.0,0.36501685133555767
-108.186343,200,19.662437,0.0,0.35218940973977686
-147.548466,200,19.785951,0.0,0.3983079891694766
-129.296902,200,19.919135,0.0,0.11329320965940792
-2.066722,8,19.925643,1.0,0.027105896391633987
-117.756729,200,20.050255,0.0,0.7156886526357357
-66.341819,200,20.48494,0.0,0.2246523409095794
-118.828631,200,20.641029,0.0,0.46468842685516176
-108.53879,200,20.767826,0.0,0.6312608460584177
-41.868148,93,20.82635,1.0,0.04695782246407729
-99.261593,200,20.946896,0.0,0.593490461635509
-92.992164,200,21.06443,0.0,0.30759095942270337
-105.624308,200,21.181959,0.0,0.5473383214525951
-74.155161,200,21.299504,0.0,0.19368270551374664
-93.944898,200,21.418035,0.0,0.4081200362859988
-91.271574,200,21.535093,0.0,0.3740453206614669
-97.028635,200,21.656609,0.0,0.55265371360475
-3.209516,10,21.662633,1.0,0.041638070865131126
-22.068102,43,21.686609,1.0,0.03756940484313731
-86.139141,200,22.120517,0.0,0.4964338624811025
-88.787437,200,22.266558,0.0,0.4900494199936944
-137.656121,200,22.398064,0.0,0.11521678400092532
-17.176349,47,22.431591,1.0,0.0418235460508416
-108.365621,200,22.552108,0.0,0.3177615173855655
-90.21797,200,22.685072,0.0,0.6040693876443985
-8.707786,32,22.706072,1.0,0.027644233332880783
-102.17975,200,22.832884,0.0,0.7845778339468127
-147.466241,200,22.960398,0.0,0.8500249521746938
-53.546835,74,23.006398,1.0,0.031199097660606023
