#{"t_start": 1783874280.4820018, "env_id": null}
r,l,t,is_success,final_distance,tau_sum_total,episode_energy,episode_mean_tau_sum
-50.760229,169,1819.893061,1.0,0.04787294288500034,1743.9421414295884,9.80760667203103,10.319184268814134
-48.217362,200,1820.036106,0.0,0.1150685417233565,2304.423728497679,12.235799199126003,11.522118642488394
-46.383695,167,1820.153185,1.0,0.04736395214913612,1936.0374585709505,10.79094416079004,11.593038674077548
-120.866671,200,1820.291594,0.0,0.31876633961343365,2100.104369191447,11.750910959221805,10.500521845957234
-66.027917,200,1820.920072,0.0,0.11956462033128532,2069.71874093563,11.115878065391259,10.348593704678152
-66.080192,200,1821.071497,0.0,0.16607988226670897,2126.5988646359374,11.514837174555014,10.632994323179688
-60.323188,200,1821.235368,0.0,0.1985346007902861,2171.71506661881,11.604060585775477,10.85857533309405
-57.782851,200,1821.381359,0.0,0.10496054638168963,2268.417685260709,12.484663540083288,11.342088426303544
-17.978347,115,1821.467146,1.0,0.04890825323539743,1588.3827311860084,9.061250864617383,13.81202374944355
-92.594895,200,1821.602677,0.0,0.15196353733931442,1997.2550711974409,10.310755741259968,9.986275355987205
-87.26276,200,1821.740746,0.0,0.10931488217531497,1830.2320942772117,9.468386776903207,9.151160471386058
-10.687569,89,1821.801605,1.0,0.04872102403712522,1037.2386033236396,5.956492812330935,11.654366329479096
-89.360216,200,1821.933949,0.0,0.08388303237059841,1802.9602077720597,9.575948961200927,9.014801038860298
-83.965468,200,1822.069322,0.0,0.12971952489322855,2027.6818366648506,11.69532510694335,10.138409183324253
-11.318764,88,1822.139318,1.0,0.047227255961697086,803.9088560551336,4.755213736794598,9.135327909717427
-41.812812,165,1822.255942,1.0,0.04869933925999772,2336.928593496443,12.728533374561732,14.16320359694814
-118.067845,200,1822.892661,0.0,0.2879174911472212,2445.7713181769427,13.466915822869355,12.228856590884714
-6.876249,28,1822.916468,1.0,0.04877368005461036,31.78991591131218,0.25837970184883424,1.1353541396897207
-58.08917,183,1823.062608,1.0,0.047691902791941514,2097.2952440469144,11.499765214045002,11.460629748890243
-71.052439,200,1823.221514,0.0,0.06767917554578022,2417.5161137041,12.699007803404296,12.087580568520501
-87.308071,200,1823.355049,0.0,0.118757667738535,2269.1686708279453,12.29702290400212,11.345843354139726
-89.197508,200,1823.491452,0.0,0.14002029970730998,2757.6294266066593,15.89995910734412,13.788147133033297
-106.465421,200,1823.628026,0.0,0.22161677257595086,2506.0403249799997,13.849615902859737,12.530201624899998
-17.478542,103,1823.701513,1.0,0.047819031638085145,1122.3355897489957,6.689404135278652,10.896462036398017
-7.24826,31,1823.723409,1.0,0.0493009019227186,31.839026767281588,0.2588708066837851,1.0270653795897287
-18.292526,115,1823.803156,1.0,0.04627848791292039,1010.7025526999403,5.814728648038755,8.788717849564698
-25.60948,134,1823.892645,1.0,0.04432384154187909,1672.3838891999872,9.794109865518019,12.480476785074531
-38.30997,151,1823.999182,1.0,0.04668041919125407,1702.2705388516347,9.35321775536591,11.273314826832017
-89.52511,200,1824.135288,0.0,0.13140830082224786,2303.6856500623358,12.26405097154454,11.518428250311679
-70.340262,200,1824.747962,0.0,0.17559900582636834,1935.7423556446884,10.726682928101168,9.678711778223441
-111.906418,200,1824.930404,0.0,0.2566490705712246,2822.1131955526653,15.410699367167465,14.110565977763326
-49.102776,192,1825.090374,1.0,0.04988187633687587,1827.7595233357865,10.376514688293751,9.519580850707221
-67.920627,200,1825.23037,0.0,0.09112338478434621,2171.3678615740614,11.600233031490424,10.856839307870308
-91.070099,200,1825.365059,0.0,0.11085457159250407,1764.407028055073,9.855813343108517,8.822035140275364
-7.722732,31,1825.385141,1.0,0.04675820109523937,31.839026767281588,0.2588708066837851,1.0270653795897287
-93.629115,200,1825.525311,0.0,0.1441791390374778,2212.731025849942,11.29561358447976,11.06365512924971
-100.255172,200,1825.658723,0.0,0.1873743180083638,2381.078044128701,12.675929193690603,11.905390220643506
-93.26337,200,1825.797711,0.0,0.16602914241137365,2296.3112482939855,12.114359031267261,11.481556241469928
-61.080926,185,1825.923412,1.0,0.049999299628756856,2249.8477420644167,11.69066955164937,12.161339146294145
-22.398839,126,1826.00779,1.0,0.04821036607012486,1073.5081523558347,5.9384001813891505,8.519905971078053
-13.509011,101,1826.077003,1.0,0.049160706122980444,1256.3765431341885,7.461326803821917,12.439371714199886
-99.025353,200,1826.691857,0.0,0.1963749276240601,2315.639109035161,12.674877885057668,11.578195545175804
-140.438949,200,1826.878563,0.0,0.3973755592850717,2350.8915952926386,12.721018980632724,11.754457976463193
-51.927872,200,1827.025688,0.0,0.08601994240719568,2535.459379838693,13.878553908619228,12.677296899193466
-6.320559,74,1827.087271,1.0,0.04738458508891374,1043.1433570272657,5.811363369409172,14.096531851719806
-43.381199,156,1827.197472,1.0,0.04829736242965159,1485.7362325605757,8.128292918773777,9.523950208721638
-79.254874,200,1827.334434,0.0,0.09512367721917168,2393.2393541650545,12.797748512445512,11.966196770825272
-6.647712,72,1827.384986,1.0,0.04995050610796355,922.89185039187,5.168006193921534,12.81794236655375
-13.691312,101,1827.455098,1.0,0.04869925612419277,972.6294198490026,5.588576943363348,9.629994255930718
-39.157381,156,1827.56875,1.0,0.04857292947141473,1820.1913970187509,9.75746732499775,11.667893570633018
-88.403505,200,1827.705306,0.0,0.11346813526670721,2097.554596551774,11.495207681093147,10.48777298275887
-50.137457,178,1827.830141,1.0,0.0486562934007838,2147.517015486381,11.826571190360363,12.06470233419315
-96.873674,200,1827.969345,0.0,0.17358512526320122,2401.120880825858,12.999011210977807,12.00560440412929
-29.972421,140,1828.066227,1.0,0.04675660889322124,1710.8697081625342,9.593930409278231,12.220497915446673
-66.730362,200,1828.663218,0.0,0.09746972047279344,2119.4345279076183,11.312709159079352,10.597172639538092
-100.611047,200,1828.840478,0.0,0.20088383420916098,2242.780037961924,12.422378030231698,11.21390018980962
-99.942344,200,1829.001865,0.0,0.1971567898832068,2373.5638669029295,12.98650020700877,11.867819334514648
-36.264624,150,1829.116676,1.0,0.04891651544174557,1681.161979717411,8.682374708782701,11.207746531449407
-69.448843,198,1829.267895,1.0,0.0489385818149489,2580.39614419947,13.932147628802815,13.032303758583183
-93.792079,200,1829.417004,0.0,0.16694590095436096,2543.3819001474535,13.418031333942585,12.716909500737268
-30.337952,138,1829.514057,1.0,0.04914758653257818,1559.5277269148537,8.54652962346297,11.300925557354013
-41.37247,162,1829.631458,1.0,0.04879091574776246,1896.6953044454099,10.415651527733763,11.707995706453147
-11.387652,83,1829.690281,1.0,0.047473673925009126,777.6727726887101,4.457415691851966,9.36955147817723
-88.053404,200,1829.827028,0.0,0.1369445090129102,2722.8847757817616,15.040902697344595,13.614423878908807
-7.788994,31,1829.847336,1.0,0.042681672496781925,54.946361734241485,0.4448270176067483,1.7724632817497252
-69.322849,200,1829.987194,0.0,0.061577113651900654,2387.620946714665,13.55473124008209,11.938104733573326
-87.732963,200,1830.560385,0.0,0.08244012920113905,1888.5321638530418,9.72174861898612,9.442660819265209
-11.389412,83,1830.649064,1.0,0.04994994959526463,739.332041879273,4.087936984326746,8.90761496240088
