exp_id,train_seed,eval_seed_base,d0_bin,success_rate,mean_final_distance,mean_return,mean_ep_len,mean_tau_l1,mean_pi_value,mean_filter_intervention_rate,mean_filter_delta_tau_norm,mean_d0,episodes_in_bin,control,use_pi_reward,pi_metric,alpha_pi,safety_filter
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,"[0.924,1.367]",0.22058823529411764,0.6110071983890893,-118.70333008708474,175.08823529411765,0.0,0.0,0.10220588235294117,0.1746246174961833,1.0991447869486801,68,direct,0,tau_l1,0.0,proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,"[0.924,1.367]",0.3235294117647059,0.23956497012759592,-98.0877989421483,173.9558823529412,0.0,0.0,0.0927496659800223,0.01847897173056969,1.0991447869486801,68,direct,0,tau_l1,0.0,proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,"[0.924,1.367]",0.2647058823529412,0.47812766749148494,-95.89180824815844,165.41176470588235,0.0,0.0,0.20169855631853048,0.2540201394894112,1.0991447869486801,68,direct,0,tau_l1,0.0,proj_box_jointlimit
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,"[0.087,0.642)",0.5151515151515151,0.32542355334848083,-58.668816335393586,147.12121212121212,0.0,0.0,0.0,0.0,0.4537252305637389,66,direct,1,tau_l1,0.0005,none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,"[0.087,0.642)",0.5454545454545454,0.2900338867227276,-48.462115320289605,129.37878787878788,0.0,0.0,0.0,0.0,0.4537252305637389,66,direct,1,tau_l1,0.0005,none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,"[0.087,0.642)",0.4696969696969697,0.21244781784086608,-52.20820795204662,128.43939393939394,0.0,0.0,0.0,0.0,0.4537252305637389,66,direct,1,tau_l1,0.0005,none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,"[0.087,0.642)",0.6666666666666666,0.22431431478973252,-45.07535920363277,106.72727272727273,0.0,0.0,0.0,0.0,0.4537252305637389,66,direct,1,tau_l1,0.0005,none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,"[0.087,0.642)",0.24242424242424243,0.375022357721246,-77.56495034214082,159.57575757575756,0.0,0.0,0.0,0.0,0.4537252305637389,66,direct,1,tau_l1,0.0005,none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,"[0.642,0.924)",0.4696969696969697,0.2703723232895425,-69.81061479465097,137.8030303030303,0.0,0.0,0.0,0.0,0.7906963271951564,66,direct,1,tau_l1,0.0005,none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,"[0.642,0.924)",0.6363636363636364,0.19403769822241676,-65.37688783051264,132.5151515151515,0.0,0.0,0.0,0.0,0.7906963271951564,66,direct,1,tau_l1,0.0005,none
